ID;input1;input2;input3;input4;input5;input6;input7;input8;input9;output1;output2
496;0.241087;0.395515;0.934787;0.943991;0.133822;0.256613;1898274;0.43161;-0.140862;11709509;-30861319
497;0.266984;-0.749319;-0.019907;-0.966435;0.689579;-0.786128;-0.526908;-1203139;109425;4752227;-1951523
498;-1496353;0.412136;-0.783393;0.908742;-0.870828;0.903399;1297525;1623697;-1014758;16814622;-29163842
499;-1337074;1203683;-0.75497;0.780554;-1338863;1866013;-0.733867;1013466;-1401271;19107082;-27921861
500;-0.756151;0.397711;-0.6968;0.207303;-0.903111;0.93633;1291892;1288359;-0.336939;16341668;-2921865
501;1260038;-0.554916;0.739054;-0.484992;0.979693;-0.801972;-0.554322;-0.321179;1635013;44403;-23581197
502;0.469782;-121463;1051631;-1004584;1029888;-0.940473;-0.28078;-0.649041;0.528534;5007539;-18253241
503;-1369254;1822106;-1359112;1215383;-1015249;0.608695;-0.564801;0.13658;-1190505;2375999;-26301831
504;1250292;-129694;0.212549;-0.904329;140673;-0.698226;-0.180279;-1174856;0.711872;4584175;-18362457
505;-0.806423;0.762701;0.023139;0.42957;-1680014;1168618;0.456107;1162825;-1156579;14299222;-30642406
506;1874714;-1009305;0.193293;-0.996723;0.772431;-0.808597;-0.406327;-0.655224;1422065;4343922;-22582461
507;-0.162427;0.332612;0.07468;-0.228989;-0.431686;0.76089;1344838;1026871;0.101501;14972838;-29753823
508;0.533103;-0.716309;-0.761665;-1054769;0.827566;-1802567;-0.992284;-1241065;1065255;4604858;-18690899
509;0.36484;-1159305;0.932232;-1184917;158948;-1193529;-0.846452;-1478002;0.938555;237308;-21634498
510;0.040828;0.645357;0.752024;0.660505;-0.949679;0.552457;2415445;0.438537;0.541156;13734144;-30212637
511;-0.799692;0.736097;-0.284986;0.701289;-1255766;1856578;-0.411869;1302982;-0.983385;2200705;-27146054
512;-0.475314;0.362197;0.705878;0.560503;-0.386126;0.861106;1488223;0.62961;0.233577;12775194;-30536685
513;0.8386;-0.460002;1791337;-0.349221;-1028779;-0.76522;0.112094;-0.263599;1435537;840363;-28338998
514;-0.87417;0.779714;-0.947898;1035194;-1380213;2070412;-0.356344;141507;-1001025;19223655;-28054211
515;0.484136;0.794778;1162717;0.063413;0.192617;0.584518;0.896424;0.937885;0.901691;10791617;-30836735
516;1456334;-1046925;0.871654;-1027962;0.677047;-0.891094;-0.379801;-0.709485;1182185;187432;-25968146
517;0.264353;-0.945578;0.465753;-1207736;1600327;-0.70401;0.704059;-0.345462;1613375;4832946;-25546081
518;0.172401;0.631823;1657223;-0.951038;0.147922;0.049118;1763285;-0.091639;-0.507538;12396072;-30744263
519;1529196;-0.652908;1659194;0.000906;0.992958;0.6079;0.805634;-0.097187;1539729;1004536;-31972757
520;-1172636;1699075;-1829195;0.904035;-1692383;2107863;-0.803589;1438135;-0.903164;19868114;-27905025
521;-1661574;1514027;-0.050931;1144414;-0.998825;1314543;-0.586307;1005851;-1233399;23408222;-26498641
522;-0.757293;1049895;-0.425473;0.649206;-103561;0.837806;0.221272;0.330944;-1580295;20833335;-274302
523;0.552215;0.041268;1775522;0.80822;0.440213;-0.042898;0.10408;0.971158;0.675601;9219929;-29422065
524;1165175;-1472602;0.521212;-0.519488;1130021;-1451853;-0.639775;-1195942;0.725017;5004445;-21209263
525;-114091;1723865;-0.873829;1648223;-1430591;1174999;-1438635;0.244463;-1706223;24052836;-26362564
526;-1157754;1202111;-1224846;0.800415;-1597251;2379496;-0.559462;1232421;-1236469;20930497;-27448229
527;0.042668;-0.887683;0.206165;-1322635;0.684146;-0.91135;-0.765357;-0.677421;0.962918;3530171;-24403473
528;-1040856;0.624813;-0.122336;0.205993;-1262596;0.198526;0.835676;0.975903;-0.435319;15708168;-29409818
529;0.575104;-1134875;-0.538617;-1203419;1321341;-131398;-1068228;-0.86727;-1009864;4403732;-15247041
530;0.601088;-0.23354;1708265;-0.658277;0.045169;-0.999519;0.709621;0.18383;1575613;7476286;-27999809
531;-0.730229;0.319519;0.849724;-0.28708;-0.579278;0.632031;2148215;1144627;-0.733734;13285119;-30276883
532;-0.863014;0.166871;0.307198;0.985473;-1485606;1098374;2092647;1753376;-0.684299;15388536;-29685928
533;0.71933;-0.995897;0.262934;-1548853;0.80363;-0.87677;-1128855;-0.902768;0.880952;496913;-18896728
534;-0.152901;0.870722;1171587;0.353484;-0.392185;1347665;1886439;-0.013286;-0.024424;12461413;-30520262
535;-0.024233;-0.808353;0.998189;0.077608;0.707909;0.65975;0.124834;0.481548;0.881961;9253723;-29264429
536;-0.632015;0.646284;0.07737;0.870063;-102937;0.8886;0.849812;1461068;-1846158;16976356;-28946331
537;-0.355798;0.174405;0.454172;0.028191;0.349473;0.946743;1508498;125457;0.216998;12100958;-30898134
538;-125764;0.467195;-0.504225;0.594746;-1134514;0.721217;1194996;1376029;-105808;15373552;-29522836
539;0.286978;0.895524;0.211479;0.91157;-1039974;0.168321;0.920352;1431484;-0.605594;15657015;-29491166
540;0.611415;-1047939;0.291638;-1738793;0.434565;-1261286;-0.401612;-1293414;0.563684;5190439;-16640272
541;-1642061;0.642654;1066879;0.461676;-1086748;1051085;2307801;0.72172;-0.121905;12994147;-30392201
542;-133439;1404985;-0.944471;0.649458;-0.779504;2301792;-0.665439;151988;-1442032;20978024;-2750894
543;-0.653655;1114615;-0.423019;0.297864;-0.899095;0.346915;0.89438;1502996;-0.414807;16782051;-29092531
544;1545125;-1729327;0.372198;-0.219822;0.774813;-0.765823;-0.537416;-0.980004;0.701377;4340202;-22722566
545;-1089991;0.623108;0.175491;0.038226;-0.996975;0.710912;1341643;1489943;-0.25814;15491755;-29377429
546;-1974749;1335062;-0.182316;0.747928;-1308346;1546056;-0.075416;1274127;-0.889073;19875637;-27844048
547;0.221138;0.64976;1751779;-0.441095;-0.372862;0.005484;1220208;0.871734;0.863666;12331366;-3093664
548;-1575346;1403149;-0.790387;119783;-0.847327;150717;-0.397877;0.84596;-0.797868;21322996;-27257959
549;0.980726;-0.857292;0.36817;-0.637787;1070023;-0.884057;0.038359;-100945;0.859522;4384082;-25136714
550;-0.815319;1207048;-0.96203;1007077;-104923;0.765668;-1852856;0.679516;-144885;23240152;-26895728
551;1449671;-0.118866;0.330599;-0.977321;-0.431286;0.160674;-0.515532;-0.069688;1369187;8139088;-28261967
552;-1165918;1412746;-0.898515;0.610329;-0.625462;1881076;-0.179609;0.506321;-1730354;2114845;-27418295
553;0.861207;-1342566;-1014978;-0.822043;1295639;-1865608;-0.866712;-0.884703;0.889513;4379427;-19908012
554;0.936391;-1943602;-0.042213;-1003537;1555495;-1012917;-133072;-1296102;0.267344;493603;-19637042
555;-0.493921;0.138446;0.677645;0.312328;-1356163;0.92532;145856;1801859;0.421118;15361414;-29485819
556;1071324;-1402482;0.434516;-1422608;0.641639;-0.953071;-122577;-1157272;0.47541;5029841;-15258185
557;0.435498;-1040537;0.607753;-1432312;0.500656;0.066837;-0.83395;-1265732;0.663853;6706917;-28038681
558;-0.591036;0.215494;0.59704;0.762403;-105523;0.981572;0.896681;0.964762;-0.508505;15102246;-29563093
559;0.77775;-184697;0.063993;-0.687583;1589327;-1239957;-0.22383;-0.96167;1090322;5487816;-26016776
560;-1677166;1169745;-0.551796;0.603768;-0.635877;2050369;-0.007014;1171967;-0.877423;20092161;-27876527
561;0.098347;0.466929;2029597;-0.543314;0.25896;0.125893;1326135;0.691466;0.370456;9534643;-29353122
562;-1306914;0.677796;-0.175036;1183402;-1739148;1361959;-0.441071;1910551;-0.863318;18944813;-28433769
563;-0.114868;0.577048;1649098;0.763516;0.157619;0.296618;1944281;0.618571;0.068179;12336904;-30860471
564;0.896008;-1161224;-0.437861;-1505819;1577354;-0.993703;-0.666706;-1420435;0.683175;4963539;-18617729
565;-0.310804;-0.023082;0.397897;0.206843;0.423032;0.28203;2149696;0.72489;0.794992;12375342;-30721311
566;1130761;-1230356;0.400036;-0.898565;1069427;-0.858543;-1456027;-0.689579;1365459;6228703;-26525076
567;-0.165236;-0.312894;0.639277;0.216052;0.070438;0.213431;2141551;0.851079;-0.604446;12469708;-30675911
568;-1051109;2232006;-1145129;0.964126;-1935014;0.471054;-1529774;0.377598;-1219648;23548258;-26427499
569;-1006364;0.638897;0.191136;0.943279;-1034197;1316097;1368703;2298694;-110699;16627976;-28952296
570;1426798;-1195675;0.671587;-0.748905;1121517;-1194458;-0.217808;-0.435608;151049;483286;-25584741
571;1237312;-1209949;-0.007368;-1511919;0.935142;-0.236613;-0.251984;-1124158;1610222;5078359;-18486228
572;-1563581;0.820711;-1191907;0.142553;-1416538;1593238;-0.631856;1158757;-1543135;2099984;-27499133
573;0.359601;-0.639379;202584;-0.04169;0.692202;-0.343075;0.255374;-0.809043;1625665;6304169;-27419375
574;0.274655;-0.542065;0.73156;-0.65455;0.382562;-0.286674;0.15036;-0.30321;0.939546;9414539;-31093937
575;1100443;-0.84176;0.646235;-0.778608;0.102685;0.066836;-0.498677;-0.080929;0.771527;7545822;-28936749
576;-1799443;1386459;-0.518976;0.628605;-1141542;1007253;-0.338508;1732487;-0.578764;17989216;-28620115
577;0.852863;-1385356;-0.68522;-0.487212;0.089929;-1139241;-0.057958;-0.401406;0.948054;3735803;-21292827
578;-123795;0.610487;-0.952409;0.68858;-1268381;1865417;-0.137818;1397997;-1185687;19958825;-27817367
579;0.191615;-0.910119;-0.881018;-1187751;0.793167;-1220846;-1481064;-1353212;1355133;3715408;-20726081
580;0.563994;-0.773964;20765;-0.279736;0.701306;0.026243;1712431;-0.161101;0.591525;9598547;-29439464
581;1600876;-0.882912;0.34272;-0.841509;0.855458;0.364769;0.274731;-1860998;0.820112;6801244;-27569479
582;-1258221;191467;-1003809;0.940386;-1158419;1087761;-0.023162;0.422495;-0.922309;21978548;-28997696
583;1178535;-1044464;0.008094;-0.842281;1426443;-0.84747;-0.868068;-0.770215;0.594379;4662995;-19553183
584;0.427637;-0.50175;2255819;-0.681356;0.958533;-0.531493;1164439;0.103482;0.512193;8391208;-28830853
585;1407512;-0.983098;1180654;-0.418435;1291824;-0.641925;-0.026524;0.520786;1851094;5678255;-26658915
586;0.182764;-0.405532;0.256059;-1002244;1544058;-1099722;-0.050185;-0.488108;1571109;5330102;-26083151
587;0.73898;-0.501454;1453546;-0.070469;0.216041;-128558;0.665701;-0.351593;1400179;7149172;-29641492
588;0.438103;0.514439;0.874845;0.769568;0.803215;-0.019319;2062341;0.819091;0.305192;11678334;-30954944
589;0.946644;-1015652;0.007607;-0.848677;1142493;-1707138;-1319548;-0.629792;1308694;4668124;-24497436
590;1563425;-189899;0.179727;-1458277;16797;-0.822193;-0.481172;-1634356;0.175528;4501916;-20182541
591;0.64657;-1229582;0.045503;-1413262;0.828348;-1627259;-1324305;-0.888047;0.265539;5115816;-18893966
592;0.97493;-1321554;0.319863;-1307113;0.872817;-1037452;-0.375027;-1002937;0.712624;5000261;-18871086
593;0.931141;-0.665889;2012661;-0.960877;1111483;-0.187829;0.335954;-0.268336;1201725;6271294;-27069181
594;1352376;-1381839;0.161922;-0.988708;1414718;-1075076;-0.534879;-1990809;0.049356;4605333;-17749095
595;-0.701014;1402897;-0.173597;0.218132;-1387028;1174319;-0.525379;0.602364;-1220623;20529106;-27540843
596;-0.927789;0.982932;-1031289;0.619034;-1442974;1208116;0.078528;1595378;-1443964;17843638;-28630897
597;1604573;-0.842066;-0.065679;-0.607154;1210856;-1509948;-1472541;-1162504;0.163541;4804485;-17510216
598;-1275168;1296207;-1120411;0.92446;-1286133;2032387;-0.398236;1092321;-0.946955;21294628;-27319948
599;1265254;-1086821;2052829;-143746;1356544;-1614945;-0.04158;-0.416202;1781182;5632888;-26670404
600;-0.612236;0.202531;-0.290044;0.444307;-0.254892;0.555619;1276622;1139649;-1664282;14770369;-29769538
601;-123798;0.541435;-1091976;0.609682;-136382;1849518;0.388511;1445665;-1051092;18755266;-28249602
602;1115845;-0.903758;0.335532;-0.968701;1166416;-1120329;-0.484591;-127579;0.746237;4888943;-15490441
603;-0.765906;0.417968;-0.420486;0.891816;0.181972;0.148218;1883425;0.954028;-0.286822;14345551;-30040616
604;-0.93515;1973968;-1189145;1273545;-1329717;105381;-0.18097;0.204411;-0.944383;23041448;-26420847
605;-1100585;0.873884;0.183617;0.660685;0.058318;1512263;1399635;0.232431;-1029057;13983344;-31707997
606;-1310028;1163248;-0.681596;0.372486;-1439939;1117873;0.149702;1712393;-104742;18115697;-28543846
607;0.917194;-0.961474;-0.397396;-0.896449;1387978;-1043272;-0.922273;-1304682;0.352179;4834343;-15866663
608;0.688461;-1387794;0.043849;-0.570166;0.278894;-1651496;-1229309;-0.85374;1537162;4937683;-25324979
609;1193245;-0.847963;-0.188122;-1229096;0.222184;-0.841451;-0.828815;-1860891;0.385051;5124283;-17320204
610;1582527;-1348867;-0.215449;-0.622864;0.785214;-0.754632;-0.299271;-1033484;1164236;4794908;-19291238
611;1571848;-0.44277;0.656454;-0.500808;0.808317;-0.784708;0.227381;-0.13422;1466542;6511083;-26912951
612;1157096;-0.079751;0.389863;-0.931745;0.873886;-0.102696;0.907569;-0.416555;0.890811;7195908;-29212489
613;0.361647;-0.370886;2118335;-0.796304;0.245257;-0.311293;0.182786;-0.692352;1721405;6702874;-27327617
614;-0.050125;1170142;0.551417;0.064317;-0.853356;1186102;1835025;0.876283;-0.399935;13501707;-30214473
615;-1500242;1488893;-0.053741;0.962549;-0.937521;113463;-0.738817;-0.586516;-1564605;22647493;-26752468
616;0.766455;-1038046;0.685265;-0.837333;1162324;-0.376473;0.094039;-0.08964;1763926;60542;-26546448
617;-0.945434;0.720363;0.187672;0.046836;-0.492662;0.680526;1174829;1590256;-0.747492;16566827;-2911291
618;-0.779871;0.826854;-0.481684;0.662743;-0.709928;-0.739956;2038699;0.458587;-0.276245;14342028;-30096042
619;0.697588;-0.012362;1591176;0.642268;0.688185;-0.340678;1477671;0.345666;0.940501;944599;-30358126
620;1548068;-1128202;0.184502;-0.692178;0.440912;-0.800399;-0.414424;-0.231731;0.448659;4046688;-23114819
621;1553259;-1026644;0.089672;-0.639798;1379168;-1372932;-0.902417;-1387429;0.953056;4833015;-1647109
622;0.970134;-0.84507;2137456;-0.308313;0.800832;0.102178;0.244092;-0.456477;0.63236;660661;-27391578
623;-1220435;1063397;-1343212;0.35573;-0.514057;0.953062;1528067;1205725;-1635722;16781589;-29177097
624;1032437;-1119337;-0.746501;-114904;0.507837;-0.401227;-0.6412;-0.457998;1998177;52091;-26221455
625;0.000331;0.034791;0.454914;0.574869;-1002915;1229467;1004223;1308586;-0.726935;14181318;-29944149
626;0.2047;-0.686387;0.603231;-0.269625;0.212493;0.077154;0.550039;0.196804;0.385606;7967832;-28437571
627;0.954135;-0.778755;1425801;-0.613161;0.752193;-0.84591;-0.198966;-0.867109;1340932;5809561;-26163066
628;-1312334;1531182;-0.739557;1461106;-0.938111;0.848311;-0.134947;0.635708;-1356902;21869233;-27117801
629;0.248734;-0.824547;0.281401;-1106602;0.903025;-1182085;-1026077;-1689429;0.627359;4945638;-19318106
630;0.452893;-0.933154;-0.54919;-0.985089;0.908722;-0.940847;-0.144395;-0.613121;0.60567;4330958;-20924472
631;-0.161422;1119735;0.373381;0.842383;0.192015;0.872406;208427;1201868;0.731861;12599121;-30699632
632;-0.884083;1100202;0.672532;0.159018;-0.555656;1513507;0.95899;151071;-1401579;15862202;-2930879
633;0.04539;-0.210535;0.780394;-0.345709;0.832828;0.176866;-0.076627;0.41653;1550564;8314809;-28821514
634;0.464514;-0.827306;-0.214103;-1058091;1034269;-1497558;-0.816378;-0.930071;0.382642;4860061;-20397836
635;-1097969;1323361;-0.683144;179214;-1481858;1438318;-0.424988;1176933;-1019024;2101872;-28184406
636;1274812;-0.902342;-0.21758;-1320331;1100682;-1217632;-1115071;-0.896775;0.324756;5378292;-17059743
637;0.534438;-0.653818;0.468885;-0.881592;1132379;-126766;-2436899;-0.672549;1815502;4567718;-25288913
638;-0.84519;0.860678;-0.650589;1393474;-0.820623;1662193;-1139348;1036096;-102094;21107304;-27520864
639;0.149683;-0.372485;1111797;0.218671;0.038704;0.489577;1908524;-0.240649;0.466084;11729712;-30821554
640;1274166;-1264818;-0.387213;-0.907474;11231;-0.853234;-0.101444;-1054862;0.321473;4762823;-21465891
641;0.172781;-0.089296;0.915575;0.281738;-0.150418;0.905004;1687101;0.137872;0.398859;10452478;-30499771
642;-0.421491;1090922;1036041;0.946809;-0.017958;0.506787;2525908;11123;-0.873754;1341481;-30155472
643;-0.076308;-0.003585;1928203;1319676;-0.068672;0.088571;139185;0.042387;-0.244329;11437668;-30965315
644;1481995;-1330168;0.183968;-1254955;0.944687;-0.846455;-1098749;-107717;0.801343;40765;-2173059
645;-0.989181;0.316744;0.74789;0.795292;-0.016334;0.800844;1371543;1607899;-0.51108;14395519;-30026159
646;1364645;-0.654467;0.37771;-0.576026;0.785009;-1135247;-0.171286;-0.509799;1634685;4344012;-23661761
647;0.92835;-0.746643;-0.58026;-1291025;1361242;-0.783406;-0.377346;-1521244;0.408719;3981313;-20916802
648;-1676272;0.805776;0.212136;2093459;-0.863674;1200515;-0.341594;0.697535;-1268179;22289597;-26873316
649;-2110365;0.931985;-1180683;0.754922;-0.750371;1898044;0.086817;1513049;-1021137;20767343;-27625072
650;1276641;-1451871;-0.151678;-1279272;0.927251;-0.904073;-0.840026;-2021759;0.460096;5035754;-15437988
651;1063699;-0.579417;0.544713;-0.673959;0.022672;-0.923538;-0.247301;-0.732047;1375584;4009068;-21971534
652;-0.968097;0.624283;-0.796413;0.916668;-0.509177;0.452881;1024069;1886292;-1223205;16717655;-3029886
653;0.188052;-0.059082;-0.158423;-0.378924;-0.096208;0.332293;1542827;0.692287;-0.195963;12195881;-3064327
654;0.445555;-0.493312;287267;-0.659233;0.647835;0.420181;0.095008;0.346984;0.813428;8741056;-28908265
655;0.781064;-1383636;-1058869;-1489671;1664486;-1068559;-0.522665;-125934;0.010156;4803652;-18598674
656;1025774;-124584;1876053;-0.840218;0.780384;-0.956009;-0.276651;-0.873237;2083441;4764269;-28321431
657;0.751472;0.005144;2146196;0.258252;0.744557;0.750134;1711035;-0.557911;0.220559;8669543;-28914631
658;0.025954;1157867;1573515;-0.73731;0.260069;0.817127;144959;-0.850078;0.905092;1118542;-3061487
659;0.046452;-1696057;-0.216495;-0.137797;0.184999;0.424641;0.764831;0.102222;1360931;8556919;-28635964
660;-1497781;131287;-0.184911;1253057;-1329703;130598;-0.06022;135267;-0.89798;21386696;-2719712
661;1185466;-0.601053;0.661043;-1016604;1702383;-0.682527;0.174826;-1130813;1793922;5947116;-26559995
662;1271862;-1596386;0.376991;-0.920078;1234468;-1133173;-0.498366;-1120492;0.422309;4376539;-20563553
663;-0.552083;0.715486;-0.742705;0.286626;-0.946347;0.940114;1591236;1334214;-0.543979;14885739;-29673797
664;0.831801;-1199118;0.895781;-1332395;1455649;-1222277;-0.089684;-0.483168;1839618;4622875;-24843933
665;1370905;-0.662555;0.62799;-0.531006;1453308;-0.470659;-0.182867;-0.442509;1946012;5896702;-26257495
666;-0.122633;0.889615;1854688;0.938226;0.848106;0.615064;1393411;1370742;0.122047;12015829;-30834926
667;0.452313;-1112988;0.289772;-1056971;0.88311;-0.806689;-0.023807;-0.181212;1014845;3943436;-21145168
668;-1268647;137215;0.421415;0.560475;-0.476871;1105065;117567;1566414;-0.779485;15561483;-29450776
669;0.581829;-1313144;0.786965;-1344481;0.638166;-0.798721;-0.222803;-1186562;0.832349;4448615;-23038261
670;0.834176;-0.697987;-0.381388;-1424707;0.839177;-1142503;-1613019;-1081838;0.588608;3991742;-21368387
671;-1181295;1186127;-0.502734;0.85092;-1293368;1905684;-1266874;1387639;-1924976;1952487;-27899401
672;-0.137012;0.300231;1357267;-0.308745;0.266303;0.428078;1675692;0.252193;-0.121044;11654185;-30835211
673;0.346953;-1308046;0.246048;-1151719;0.474713;-1257294;-1002236;-1041188;0.274799;57375;-16454466
674;-0.064603;0.191215;0.655938;1123037;0.094312;0.657193;0.925416;0.364683;0.708225;10905156;-30735117
675;-1620426;1030829;-1653993;1013019;-131906;0.532634;-0.462312;0.559828;-1768095;23687507;-26346828
676;-1903006;1695343;-0.268489;0.334432;-1498855;0.686312;-0.175931;0.892641;-1450696;23369298;-26394894
677;0.288938;-0.784042;2351207;-0.92986;0.691474;0.586941;121884;0.270415;0.91497;7524403;-30934277
678;-0.924594;0.826584;-0.632428;0.696661;-1749909;1329564;0.771589;1988889;-1090618;1817765;-28550054
679;1895617;-1035386;0.734269;-0.978403;1222914;-1029925;-0.187194;-1146571;0.566019;4863906;-19136748
680;-0.103743;-1272748;1847523;-0.297492;0.699981;0.062531;108387;0.10642;0.794398;9928746;-2944852
681;-0.744153;1048988;-0.198437;1173041;-1563845;1000573;1101425;2221585;-1021249;1722856;-28875977
682;1348218;-1080505;-0.161339;-0.737022;1875997;-1407549;-0.971396;-1136978;0.64704;5491007;-1633221
683;1736083;-0.827938;0.717531;-0.55695;1481806;-0.532256;-0.170998;-0.363734;1738373;4341321;-25585277
684;0.534825;-0.543059;0.105505;-0.261307;1035394;-1426388;0.090329;-0.974789;0.634534;3721925;-21756758
685;0.711916;-0.371546;-0.294815;-0.678896;1492252;-0.983203;-0.933216;-117008;0.199703;506925;-19305946
686;0.455547;0.168389;1568464;0.56719;-0.09405;0.643368;1429159;0.755047;0.622329;10973345;-30899663
687;-1145667;1225147;-0.378793;0.371461;-1564909;2124205;-0.040615;1274714;-1362684;19576525;-28080373
688;0.113177;0.130388;0.967111;0.291599;-0.432299;0.134971;1643542;1952192;-0.594142;11925919;-30964714
689;0.663734;-1304076;1200109;-0.880179;0.927938;-0.31625;-0.634713;-1066907;1560652;4725423;-25183942
690;-1162617;0.951147;-0.229412;0.716248;-1651952;1786815;-0.655579;1761346;-0.43695;18644171;-28383352
691;1123399;-0.696831;-0.023406;-0.516705;1544911;-1074345;-0.925306;-1356404;0.5554;4362087;-21479053
692;-0.957836;1398093;-0.784173;0.336993;-1933205;1625066;-0.268792;1166171;-0.696005;19359347;-27890531
693;1767545;-0.620879;0.771069;-1387502;-0.115586;-0.091019;0.046345;-0.960693;1658604;6990824;-27684359
694;0.325668;0.067284;1191255;0.523478;-0.01344;0.399627;1824321;0.501525;0.572866;13082321;-30347319
695;-0.179624;0.158013;1031084;0.190464;1093896;1115868;2547303;-0.466122;-0.023324;10154812;-31132547
696;149118;-0.616587;-0.79355;-144299;1343578;-0.639402;-0.761041;-1436509;0.790216;5612163;-17716443
697;-1823948;0.27241;1379239;0.877233;-0.098585;0.767987;1759528;0.370275;0.054875;12763976;-30507662
698;1595387;-0.556199;0.2529;-1135522;1028965;-115938;-0.272144;-0.677572;0.132616;4595493;-2494062
699;-1145165;1887565;-0.638228;1396208;-1261966;0.46224;-0.930989;-0.406023;-2054708;23241197;-2661275
700;0.473919;-0.629119;0.813263;-0.630835;1417631;-0.95398;-0.449159;-0.306753;1243537;4255375;-2364361
701;-0.169824;0.590811;155641;-0.092572;-0.831269;0.091728;1832322;0.755403;-1360338;13219043;-3022016
702;1444747;-148532;0.083565;-1497927;1549368;-0.805963;-0.358081;-0.589043;0.784064;4996591;-24999789
703;0.533572;-0.410804;1145715;-1223531;0.175313;-0.48906;0.008141;-0.159852;1223503;7468798;-27801941
704;0.3993;0.249569;0.718037;-0.455696;0.458539;-1200297;1599322;0.142182;2525864;5658424;-30517094
705;0.69513;-0.202206;1277678;-1111158;0.577899;-1222963;1095381;-0.911359;1498037;6192801;-26705496
706;0.226419;0.174177;-0.876792;0.575372;-0.399873;1138492;1701215;1425609;-0.901931;15763821;-29481958
707;0.755185;-0.848167;0.685056;-0.692241;0.341706;-1212596;-0.027548;-0.391704;1775234;5819029;-26909321
708;-1978;1469793;-0.453845;1746959;-1379604;0.077591;-0.408225;0.630063;-1177954;22517182;-29519752
709;0.707598;-0.033107;2231511;-0.892597;0.602343;-0.046021;1559754;0.356404;0.57823;8995398;-2906468
710;0.618785;-0.844531;1795174;0.225152;0.45918;-0.335429;1449421;0.185022;0.006844;9765298;-29770952
711;-1685468;1035966;-0.563602;106473;-1276973;139335;-0.380319;0.920844;-1358424;22193139;-26943263
712;122325;-1210865;-0.282235;-0.880255;0.723682;-0.919274;-0.416197;-0.639196;0.280715;387024;-23995805
713;0.876142;-1143563;-0.010519;-0.874931;0.851081;-0.994384;-0.868247;-1134654;0.527623;5611806;-15369933
714;0.932456;-108347;0.652674;-0.498072;1532806;-1098089;-0.141348;-0.59162;1569366;5885896;-26125132
715;1069148;-1252806;0.180744;-1421211;1182772;-1857551;0.314426;-0.405238;0.349359;4528297;-21953587
716;0.815881;-0.691572;-0.14658;-1376234;0.436108;-1461495;-0.646008;-1401431;0.802748;5034274;-16831054
717;-0.690916;1420811;-1115152;1745371;-1312955;0.349196;-0.131813;-0.46285;-1097257;24117642;-2621805
718;0.509448;0.312734;1784289;-0.42053;-0.391865;-0.467006;-0.132568;0.618395;1255793;7525187;-28124977
719;0.511841;-1108218;0.436077;-0.662415;0.711241;-134803;-0.812091;-1448144;1474516;527815;-2524638
720;-0.232179;0.372993;1254021;0.285839;-0.422577;0.811574;195964;1511763;-0.827136;13278586;-30228161
721;-0.657683;1285581;-0.781382;0.640086;-1243894;1872423;0.046393;1304836;-1145442;21014382;-27541979
722;-0.852989;-0.571289;-0.300199;0.52184;-1310254;2298116;0.193545;1359965;-1355208;18905432;-28131413
723;-1521719;1370682;-0.411464;1125558;-1068486;1152762;-0.155911;0.109793;-1630795;21510408;-27240799
724;1395083;-1272373;-1343168;-1406307;-0.037639;-0.986106;-0.957374;-1649515;0.712884;3545532;-1942073
725;2243752;-1288215;0.198049;-1215631;122914;-1231001;-1191098;-1940695;0.014312;4966771;-17161044
726;-0.252489;0.665095;0.919539;0.480542;-0.723106;0.766446;1216893;0.58412;-1070782;13369261;-31552791
727;0.927113;-2080305;0.720699;-1062154;0.254102;-0.511012;0.68965;-0.512372;1168203;4243432;-2235653
728;0.513673;-1184541;0.730282;-0.332823;1640773;-0.781353;-0.074694;-1275301;1545041;5428239;-26465045
729;1396649;-1253285;1095633;-132278;0.944124;-148633;-0.179677;-1470147;0.883932;4428768;-24005264
730;0.022752;-0.015551;1863303;-0.468246;0.280788;-0.267007;1111851;0.762377;1079928;9142395;-29243731
731;-0.294257;1132489;-0.650482;-0.059434;-1573632;1000175;0.558083;128344;-1311682;16929093;-29071952
732;1011936;-0.192239;1980931;-0.515335;0.600282;-0.256405;0.503508;0.300488;1821396;8096418;-28511669
733;146639;-0.975678;-0.354129;-1311895;1626361;-1730259;-0.698485;-1903694;0.380546;5079893;-17064442
734;-1533464;0.2057;-0.731599;0.498944;-2113994;1083878;0.205924;169936;-1687088;16464892;-30578348
735;-0.774307;0.784559;-0.369997;0.020623;-1247655;1454532;0.100791;1351746;-0.353679;17905229;-28520674
736;0.403759;-0.308592;0.524618;-0.737938;0.510717;-125985;-0.760955;-0.881271;1749983;425427;-21552061
737;148639;-1672167;0.266334;-0.762987;108593;-0.256292;0.63895;-0.490664;131777;4443212;-25950162
738;-1430188;1519018;-2081145;1289151;-1512434;0.501746;0.114906;0.120908;-1231113;23668096;-26398529
739;-0.397105;0.841896;-0.431468;0.703155;-1115206;1020651;1080025;1480688;-2259307;16799845;-29041776
740;0.898922;-1333838;0.935762;-0.945444;0.534651;-0.979772;-0.350907;-0.683692;0.516181;4446572;-23882014
741;1366276;-146437;0.503717;-0.689275;1025407;-0.860124;0.475126;-0.37779;1299477;4424493;-24762657
742;-0.217268;-0.328073;0.748948;-0.047745;-0.393204;0.957602;0.901097;0.729552;0.709037;10408652;-30292906
743;1275828;-0.854754;0.97262;-1015664;0.469467;-0.617853;0.22916;-0.285424;143053;6223724;-26717739
